시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
의왕시,하우현 성당,경기도 의왕시 청계동 201,031-426-8921,2021-03-05,,
의왕시,모락산성,경기도 의왕시 내손동 산 122번지,,2021-03-05,,
의왕시,한익모 선생묘,경기도 의왕시 월암동 산 27-1,031-345-2533,2021-03-05,,
의왕시,채세영선생묘 및 신도비,경기도 의왕시 포일동 산12,031-345-2533,2021-03-05,,
의왕시,안자묘,경기도 의왕시 왕곡동 산 4-1번지,031-345-2533,2021-03-05,,
의왕시,정인섭동요비,경기도 의왕시 청계동 산11 천주교 공원묘지 내,031-458-3452,2021-03-05,,
의왕시,이희승박사생가,경기도 의왕시 포일동 87-13 (양지편 마을 생가),031-452-8594,2021-03-05,,
의왕시,사근행궁터,경기도 의왕시 사그내길 11,031-345-2533,2021-03-05,,
의왕시,갈미한글공원,경기도 의왕시 문화예술로 일원(내손동 207번지),031-345-2533,2021-03-05,,
과천시,연주암 3층 석탑,경기도 과천시 자하동길 64 (중앙동),02-3677-2065,2021-03-05,,
과천시,보광사 목조여래좌상,경기도 과천시 교육원로 41 보광사 내,,2021-03-05,,
과천시,연주대,경기도 과천시 자하동길 62,02-3677-2066,2021-03-05,,
과천시,과천관악사지,경기도 과천시 중앙동 산12-1 중앙동 산12-9,,2021-03-05,,
과천시,과천 관악산 육봉일명사지,경기도 과천시 중앙동 산 11,,2021-03-05,,
과천시,시흥 문원리 삼층석탑,경기도 과천시 교육원로 41,,2021-03-05,,
과천시,문원리 사지 석조보살 입상,경기도 과천시 교육원로 41,,2021-03-05,,
과천시,효자 최사립정문,경기도 과천시 문원로 40-2,,2021-03-05,,
과천시,역대 현감비석군,경기도 과천시 관악산길 58,,2021-03-05,,
성남시,봉국사 대광명전,경기도 성남시 수정구 태평로 79,,2021-03-05,,
성남시,망경암 마애여래좌상,경기도 성남시 수정구 태평로 55번길 72,,2021-03-05,,
고양시,북한산성,경기도 고양시 덕양구 대서문길 375,031-968-5325,2021-03-05,,
고양시,행주산성,경기도 고양시 덕양구 행주내동 산 26,031-8075-4642,2021-03-05,,
하남시,이성산성,경기도 하남시 춘궁동 산36번지,031-795-1020,2021-03-05,,
포천시,지장산,경기도 포천시 관인면 중리 산251-1,031-538-4652,2021-03-05,,
포천시,반월성지,경기도 포천시 군내면 청군로3290번길 19,031-538-2114,2021-03-05,,
포천시,포천고모리산성,경기도 포천시 소흘읍 고모리 산 64,031-538-2106,2021-03-05,,
평택시,평택원정리봉수대,경기도 평택시 포승읍 원정리 109-54,031-655-2002,2021-03-05,,
파주시,오두산성,경기도 파주시 탄현면 성동리 산 86,031-940-5831,2021-03-05,,
이천시,설봉산성,경기도 이천시 사음동 산24,031-644-2114,2021-03-05,,
이천시,설성산성,경기도 이천시 장호원읍 선읍리 931,031-644-2114,2021-03-05,,
오산시,독산성 세마대지,경기도 오산시 지곶동 155,031-8036-7604,2021-03-05,,
오산시,금암리 지석묘군,경기도 오산시 수목원로 449,031-8036-7648,2021-03-05,,
연천군,연천호로고루,경기도 연천군 장남면 원당리 1258,031-839-2144,2021-03-05,,
연천군,연천 은대리성,경기도 연천군 전곡읍 은대리,031-839-2061,2021-03-05,,
김포시,문수산성,경기도 김포시 월곶면 문수산로 102-38,031-920-2965,2021-03-05,,
김포시,수안산성,경기도 김포시 대곶면 율생중앙로52번길 100-2,031-984-2181,2021-03-05,,
여주시,파사성,경기도 여주시 대신면 천서리 산9,031-887-3562,2021-03-05,,
양평군,함왕성지,경기도 양평군 옥천면 용천리 산 27,031-770-2471,2021-03-05,,
양주시,양주대모산성,경기도 양주시 백석읍 방성리 789 일원,,2021-03-05,,
안성시,죽주산성,경기도 안성시 죽산면 죽양대로 111-71,031-678-2502,2021-03-05,,
안성시,무양산성(무한성),경기도 안성시 일죽면 금산리 산48,031-678-2504,2021-03-05,,
안성시,망이산성,경기도 안성시 일죽면 금산리 산48,031-678-2502,2021-03-05,,
안성시,금광산성,경기도 안성시 금광면 금광리 산64,031-677-1330,2021-03-05,,
안성시,서운산성,경기도 안성시 서운면 청룡길 175-252,031-678-2502,2021-03-05,,
연천군,당포성,경기도 연천군 미산면 동이리 778,031-839-2289,2021-03-05,,
안산시,안산읍성및관아지,경기도 안산시 상록구 수암동 산 26-4,031-481-3437,2021-03-05,,
안산시,청문당,경기도 안산시 상록구 청곡길 77,031-481-3437,2021-03-05,,
안양시,만안교,경기도 안양시 만안구 석수2동 679,031-389-2473,2021-03-05,,
안양시,삼막사남녀근석,경기도 안양시 만안구 삼막로 584,031-8045-2474,2021-03-05,,
안산시,고송정지,경기도 안산시 화정동 산58,031-481-3437,2021-03-05,,
