시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
평택시,서해대교,경기도 평택시 포승읍 만호리 327-4,,2021-03-05,,
김포시,재두루미도래지,경기도 김포시 하성면 가금리 538,,2021-03-05,,
이천시,노성산말머리바위,경기도 이천시 설성면 진상미로 238-7 노성산,,2021-03-05,,
안산시,구봉도낙조전망대,경기도 안산시 단원구 구봉타운길 43,031-1899-1720,2021-03-05,,
고양시,노래하는분수대,경기도 고양시 일산동구 호수로 595,031-924-5822,2021-03-05,,
양평군,두물머리,경기도 양평군 양서면 양수리 697,031-770-1001,2021-03-05,,
광명시,광명동굴,경기도 광명시 가학로 85번길 142,070-4277-8902,2021-03-05,,
가평군,잣향기푸른숲,경기도 가평군 상면 축령로 289-146,031-8008-6769,2021-03-05,,
군포시,반월호수,경기도 군포시 청백리길 6,031-392-3000,2021-03-05,,
군포시,초막골생태공원,경기도 군포시 초막골길 216,031-390-4051,2021-03-05,,
가평군,청평호,경기도 가평군 설악면 회곡리 454-3,031-582-0088,2021-03-05,,
포천시,산정호수,경기도 포천시 영북면 산정호수로411번길 89,031-532-6135,2021-03-05,,
안성시,용설호수,경기도 안성시 죽산면 용설호수길 234,031-673-9771,2021-03-05,,
안성시,칠곡호수,경기도 안성시 원곡면 칠곡리,031-673-9771,2021-03-05,,
안성시,고삼호수,경기도 안성시 고삼면 월향리 102,031-673-9771,2021-03-05,,
안성시,청룡호수,경기도 안성시 서운면 청용리 산1-17,031-673-9771,2021-03-05,,
안성시,금광호수,경기도 안성시 금광면 금광리,031-673-9771,2021-03-05,,
평택시,평택호관광단지,경기도 평택시 현덕면 평택호길 159,031-8024-8687,2021-03-05,,
시흥시,뒷방울저수지,경기도 시흥시 정왕동 35,031-498-0737,2021-03-05,,
시흥시,청룡저수지,경기도 시흥시 방산동 634-4,031-313-8050,2021-03-05,,
시흥시,칠리제저수지,경기도 시흥시 금이동 산120-1,031-314-8366,2021-03-05,,
시흥시,과림저수지,경기도 시흥시 과림저수지길 79,02-2612-3858,2021-03-05,,
시흥시,마전달월저수지,경기도 시흥시 월곶동 산63-7,031-310-2334,2021-03-05,,
용인시,이동저수지,경기도 용인시 처인구 이동면 어비리 산46,,2021-03-05,,
용인시,용담저수지(사암지),경기도 용인시 처인구 원삼면 원양로 382-2,031-322-7860,2021-03-05,,
포천시,청계호수,경기도 포천시 일동면 운악청계로1480번길 45,031-832-2181,2021-03-05,,
양주시,신암저수지,경기도 양주시 남면 신암리,031-863-5882,2021-03-05,,
여주시,신륵사관광지,경기도 여주시 신륵사길 73,031-885-2505,2021-03-05,,
여주시,이포보,경기도 여주시 금사면 이포리 5,,2021-03-05,,
양주시,덕계저수지,경기도 양주시 덕계동 산7,031-864-6536,2021-03-05,,
여주시,강천보,경기도 여주시 신단1길 83,031-887-3573,2021-03-05,,
부천시,시민의강,경기도 부천시 부흥로 399,032-625-3563,2021-03-05,,
이천시,설봉호,경기도 이천시 관고동 418-2,,2021-03-05,,
포천시,포천 화적연,경기도 포천시 영북면 자일리 산115-2,031-538-2106,2021-03-05,,
파주시,발랑저수지,경기도 파주시 광탄면 부흥로 596,031-950-3260,2021-03-05,,
광주시,팔당호,경기도 광주시 남종면 우천리 55,031-760-2000,2021-03-05,,
파주시,마장호수,경기도 파주시 광탄면 기산로 365,031-940-5761,2021-03-05,,
화성시,남양호(남양황라),경기도 화성시 우정읍 이화리 1604,031-369-2114,2021-03-05,,
파주시,파평용연,경기도 파주시 파평면 청송로 300,031-940-4354,2021-03-05,,
포천시,고모리저수지,경기도 포천시 소흘읍 죽엽산로 452,031-538-4102,2021-03-05,,
포천시,한탄강,경기도 포천시 영북면 자일리 산 115-2,031-538-4652,2021-03-05,,
여주시,여강길,경기도 여주시 강변유원지길 105,031-884-9089,2021-03-05,,
의왕시,왕송호수,경기도 의왕시 초평동,031-345-3534,2021-03-05,,
의왕시,덕성산,경기도 의왕시 월암동,031-345-3521,2021-03-05,,
의왕시,백운호수,경기도 의왕시 학의동 340-1번지,010-4341-3737,2021-03-05,,
화성시,공룡알화석산지,경기도 화성시 공룡로 659,031-357-3951,2021-03-05,,
연천군,백학저수지,경기도 연천군 백학면 저수지길 21,031-835-5470,2021-03-05,,
연천군,임진강,경기도 연천군 미산면 동이리,031-839-2061,2021-03-05,,
파주시,공릉저수지,경기도 파주시 조리읍 장곡리 353,,2021-03-05,,
과천시,막계청담(과천저수지),경기도 과천시 막계동 408,,2021-03-05,,
수원시,서호(축만제),경기도 수원시 팔달구 화서동 436-1,,2021-03-05,,
연천군,한탄강관광지,경기도 연천군 전곡읍 선사로76,031-833-0030,2021-03-05,,
파주시,애룡저수지,경기도 파주시 법원읍 애룡길 194,031-950-3260,2021-03-05,,
가평군,운악산,경기도 가평군 조종면,,2021-03-05,,
가평군,명지산,경기도 가평군 북면 도대리,031-582-0103,2021-03-05,,
포천시,명성산,경기도 포천시 영북면 명성산,031-538-3342,2021-03-05,,
양평군,용문산,경기도 양평군 용문면 용문산로 655,031-773-0088,2021-03-05,,
양평군,중미산,경기도 양평군 옥천면 중미산로 1152,031-770-2341,2021-03-05,,
시흥시,소래산,경기도 시흥시 대야동 332-80,031-317-2000,2021-03-05,,
시흥시,소래산산림욕장,경기도 시흥시 대야동 332-80,031-317-2000,2021-03-05,,
가평군,유명산,경기도 가평군 설악면 유명산길 79-53,031-589-5487,2021-03-05,,
안산시,풍도,경기도 안산시 단원구 풍도길 8,031-481-2000,2021-03-05,,
화성시,입파도,경기도 화성시 우정읍 입파길 24-15,,2021-03-05,,
화성시,국화도,경기도 화성시 우정읍 입파길 54,031-1577-4200,2021-03-05,,
화성시,제부도,경기도 화성시 서신면 제부리 224,031-369-1673,2021-03-05,,
시흥시,오이도,경기도 시흥시 정왕동 1985-2042,031-498-5671,2021-03-05,,
가평군,잣향기푸른숲,경기도 가평군 상면 축령로 289-146,031-8008-6769,2021-03-05,,
포천시,평강랜드,경기도 포천시 영북면 우물목길 171-18,031-532-1779,2021-03-05,,
포천시,운악산,경기도 포천시 화현면,,2021-03-05,,
용인시,한택식물원,경기도 용인시 처인구 백암면 한택로 2,031-333-3558,2021-03-05,,
가평군,아침고요수목원,경기도 가평군 상면 수목원로 432,031-1544-6703,2021-03-05,,
연천군,허브빌리지,경기도 연천군 왕징면 북삼리 222,031-833-5100,2021-03-05,,
남양주시,산들소리 수목원,경기도 남양주시 불암산로59번길 48-31,031-574-3252,2021-03-05,,
김포시,현대유람선(아라뱃길),경기도 김포시 고촌읍 아라육로270번길 74,032-882-5555,2021-03-05,,
김포시,아라뱃길,경기도 김포시 고촌읍 전호리,031-1899-3650,2021-03-05,,
용인시,석성산일출  (용인8경 중 제1경),경기도 용인시 기흥구 중동,,2021-03-05,,
용인시,광교산사계 ( 용인8경 중 제2경 ),경기도 용인시 수지구 신봉동,,2021-03-05,,
남양주시,물의정원,경기도 남양주시 조안면 북한강로 398,031-590-2783,2021-03-05,,
과천시,관악산 둘레길,경기도 과천시 관문동,,2021-03-05,,
